Position,Objekt / Bild,Objektseiten-URL (Zum Objekt),Institution / Quelle,Status,Rechte-Status / To-do,Kommentar,Bearbeitung,Match-URL (aktuell),Match-Konfidenz
21.1,"Satzvorlage Freude in Ehren / Irrlichter, Ansicht 1",https://ausstellung.hebel-archiv.de/objekte/freude-in-ehren-satzmanuskript-seite-3/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/freude-in-ehren-satzmanuskript-seite-3/,hoch (URL/Slug exakt)
95,"Eigenhändige Satzvorlage zum Jenner, dritte Seite",https://ausstellung.hebel-archiv.de/objekte/jenner-satzmanuskript-seite-3/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/jenner-satzmanuskript-seite-3/,hoch (URL/Slug exakt)
97,"Eigenhändige Satzvorlage zur Spinne, erste Seite",https://ausstellung.hebel-archiv.de/objekte/spinne-satzmanuskript-seite-1/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/spinne-satzmanuskript-seite-1/,hoch (URL/Slug exakt)
18,Verzeichnis der Allemannischen Gedichte,https://ausstellung.hebel-archiv.de/objekte/gedichtverzeichnis-1802/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/gedichtverzeichnis-1802/,hoch (URL/Slug exakt)
15.3,"Frühe Fassung des Hexlein, Faltung",https://ausstellung.hebel-archiv.de/objekte/hexlein-fruehe-version/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/hebel-brief-hitzig-faksimile-2026/,hoch (dokumentierter Metadatenabgleich)
17,Frühe Version der Marktweiber in der Stadt,https://ausstellung.hebel-archiv.de/objekte/marktweiber-fruehe-version/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/marktweiber-fruehe-version/,hoch (URL/Slug exakt)
16,Frühe Version des Gespensts an der Kanderer Straße,https://ausstellung.hebel-archiv.de/objekte/gespenst-fruehe-version/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/gespenst-fruehe-version/,hoch (URL/Slug exakt)
14,Goethes Rezension der Allemannischen Gedichte,https://ausstellung.hebel-archiv.de/objekte/goethe-rezension-1805/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/goethe-rezension-1805/,hoch (URL/Slug exakt)
96,Lithographie zu Hebels Geisterbesuch auf dem Feldberg,https://ausstellung.hebel-archiv.de/objekte/nisle-geisterbesuch-1845/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/nisle-geisterbesuch-1845/,hoch (URL/Slug exakt)
25,Ludwig Richter / August Gaber: Carfunkel,https://ausstellung.hebel-archiv.de/objekte/richter-gaber-carfunkel-1850/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/richter-gaber-carfunkel-1850/,hoch (URL/Slug exakt)
23,Benjamin Zix: Illustration zum Carfunkel,https://ausstellung.hebel-archiv.de/objekte/zix-carfunkel-1806/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/zix-carfunkel-1806/,hoch (URL/Slug exakt)
24,Julius Nisle: Illustration zum Carfunkel,https://ausstellung.hebel-archiv.de/objekte/nisle-karfunkel-1845/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/nisle-karfunkel-1845/,hoch (URL/Slug exakt)
27,Julius Nisle / Adolf Gnauth: Hans und Verene,https://ausstellung.hebel-archiv.de/objekte/nisle-hans-und-verene-1837/,Staats- und Stadtbibliothek Augsburg,Geklärt,non-commercial use only,,,https://ausstellung.hebel-archiv.de/objekte/nisle-hans-und-verene-1837/,hoch (URL/Slug exakt)
29,Julius Nisle: Hexlein,https://ausstellung.hebel-archiv.de/objekte/nisle-hexlein-1845/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/nisle-hexlein-1845/,hoch (URL/Slug exakt)
31,Julius Nisle: Illustration zum Statthalter von Schopfheim,https://ausstellung.hebel-archiv.de/objekte/nisle-statthalter-1845/,Privatbesitz eines Mitarbeiters,Geklärt,Privatbesitz eines Mitarbeiters; Nutzung geklärt,Privatbesitz eines Mitarbeiters; Nutzung intern geklärt.,,https://ausstellung.hebel-archiv.de/objekte/nisle-statthalter-1845/,hoch (URL/Slug exakt)
26,Sophie Reinhard: Hans und Verene,https://ausstellung.hebel-archiv.de/objekte/reinhard-hans-und-verene-1820/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/reinhard-hans-und-verene-1820/,hoch (URL/Slug exakt)
28,Sophie Reinhard: Hexlein,https://ausstellung.hebel-archiv.de/objekte/reinhard-hexlein-1820/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/reinhard-hexlein-1820/,hoch (URL/Slug exakt)
