"object_slug","object_title","object_url","image_files","license_text","license_url","license_holder","institution_or_source"
"satzvorlage-jenner","Eigenhändige Satzvorlage zum Jenner, dritte Seite","/objekte/satzvorlage-jenner/","Bilder/2-1/2.1_06_02_Jenner_u_Spinne_u_Nisle.webp | Bilder/2-1/2.1_06_02a_Jenner_H2_Schluss.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"satzvorlage-marktweiber","Eigenhändige Satzvorlage der Marktweiber in der Stadt, dritte und vierte Seite","/objekte/satzvorlage-marktweiber/","Bilder/2-1/2.1_07_04_Marktweiber.webp | Bilder/2-1/AG_07_04a_Marktweiber_H2_Blaesithor.webp | Bilder/2-1/2.1_07_01_Marktweiber_H2_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"satzvorlage-spinne","Eigenhändige Satzvorlage zur Spinne, erste Seite","/objekte/satzvorlage-spinne/","Bilder/2-1/2.1_06_02_Jenner_u_Spinne_u_Nisle.webp | Bilder/2-1/2.1_06_02c_JSpinne_H2_Beginn.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"satzvorlage-wiese","Eigenhändige Satzvorlage der Wiese, sechste Seite","/objekte/satzvorlage-wiese/","Bilder/2-1/2.1_07_02_Wiese_BLB.webp | Bilder/2-1/2.1_07_02a_Wiese_H2_01_BLB.webp | Bilder/2-1/2.1_07_02b_Wiese_H2_02_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"schatzkaestlein-erstausgabe","Schatzkästlein des rheinischen Hausfreundes, Erstausgabe 1811","/objekte/schatzkaestlein-erstausgabe/","Bilder/3/3_05_02_Schatzkaestlein_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"schatzkaestlein-kafka","Schatzkästlein des rheinischen Hausfreundes (1859) mit handschriftlicher Widmung von Franz Kafka","/objekte/schatzkaestlein-kafka/","Bilder/3/3_06_01_Schatzkaestlein_Kafka_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"scheffner-allemannische-lieder","Johann Georg Scheffner: J. P. Hebels allemannische Lieder","/objekte/scheffner-allemannische-lieder/","Bilder/2-3/2.3_03_1_Scheffner_TSS.webp | Bilder/2-3/2.3_03_2_Scheffner_TSS.webp | Bilder/2-3/2.3_03_3_Scheffner_TSS.webp","Mit freundlicher Genehmigung der Universitäts- und Landesbibliothek Bonn; Bearbeitung: Freigestellt","","Universitäts- und Landesbibliothek Bonn","Universitäts- und Landesbibliothek Bonn"
"schloss-roetteln","Ansicht des Schlosses Rötteln von der Nordseite mit der Aussicht nach Lörrach","/objekte/schloss-roetteln/","Bilder/1/1_04_01_Roettler_Schloss_GLA.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Generallandesarchiv, Karlsruhe"
"sophie-haufe","Zeichnung von Sophie Haufe","/objekte/sophie-haufe/","Bilder/6-2/HuF_6_2_Slide_2_Zeichnung_Sophie_Haufe_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"stadtkirche-karlsruhe","Die Evangelische Stadtkirche am Marktplatz in Karlsruhe","/objekte/stadtkirche-karlsruhe/","Bilder/4/4.X_01a_Stadtkirche_KA_Kunsthalle_KA.webp","Mit freundlicher Genehmigung der Staatlichen Kunsthalle Karlsruhe","","Staatliche Kunsthalle Karlsruhe","Staatliche Kunsthalle Karlsruhe"
"vade-mecum-fuer-lustige-leute","Vade Mecum für lustige Leute","/objekte/vade-mecum-fuer-lustige-leute/","Bilder/3/3_02_03_Vademecum_1774_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"verliebter-hauensteiner","Der Verliebte Hauensteiner im Allgemeinen Intelligenz- oder Wochenblatt für das Land Breisgau und die Ortenau","/objekte/verliebter-hauensteiner/","Bilder/6-3/6.3_04_01aa_Hebel_Hauensteiner_01.webp | Bilder/6-3/6.3_04_01ab_Hebel_Hauensteiner_02.webp","Public Domain Mark 1.0; Bearbeitung: Ausschnitt der Zeitungsseite","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Universitätsbibliothek Freiburg"
"widmungsexemplar-jaeck-allemannische-gedichte","Widmungsexemplar der Allemannischen Gedichte für Jäck","/objekte/widmungsexemplar-jaeck-allemannische-gedichte/","Bilder/7/7_03_01_AG3-Jaeck1_TSS.webp | Bilder/7/7_03_02_AG3-Jaeck2_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"widmungsgedicht-gemeinde-hausen","Handschriftliches Widmungsgedicht für die Gemeinde Hausen","/objekte/widmungsgedicht-gemeinde-hausen/","Bilder/1/1_02_02_Widmungsgedicht1_BLB.webp | Bilder/1/1_02_03_Widmungsgedicht2_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe; Bearbeitung: Freigestellt","","Badische Landesbibliothek, Karlsruhe","Badische Landesbibliothek, Karlsruhe"
"wieland-danischmend","Wieland, Danischmend, Titelblatt der Ausgabe Karlsruhe 1814","/objekte/wieland-danischmend/","Bilder/2-4/2.4_01_Wieland-Nachdruck_KA_1814_AB.webp","Mit freundlicher Genehmigung des privaten Leihgebers","","Privatbesitz","Privatbesitz"
"zeichnung-hebel","Zeichnung Hebels aus einem Brief an Hitzig","/objekte/zeichnung-hebel/","Bilder/5/BuP_5_Slide2_Image_2_Zeichnung_Z_368_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"zix-carfunkel","Kupferstich von Benjamin Zix zum Carfunkel","/objekte/zix-carfunkel/","Bilder/2-2/2.2_01_Zix_Carfunkel_Kupfer_1806_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
